id,name_en,description_en,related_product_ids,list_price,discounted_price,short_description_en,sku
1,Joust Duffle Bag,"&lt;p&gt;The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.&lt;p&gt; &lt;ul&gt; &lt;li&gt;Dual top handles.&lt;/li&gt; &lt;li&gt;Adjustable shoulder strap.&lt;/li&gt; &lt;li&gt;Full-length zipper.&lt;/li&gt; &lt;li&gt;L 29&quot; x W 13&quot; x H 11&quot;.&lt;/li&gt; &lt;/ul&gt;","3,4,5,6,7,12,13,14",34,34,,24-MB01
2,Strive Shoulder Pack,"&lt;p&gt;Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Zippered main compartment.&lt;/li&gt; &lt;li&gt;Front zippered pocket.&lt;/li&gt; &lt;li&gt;Side mesh pocket.&lt;/li&gt; &lt;li&gt;Cell phone pocket on strap.&lt;/li&gt; &lt;li&gt;Adjustable shoulder strap and top carry handle.&lt;/li&gt; &lt;/ul&gt;","1,3,4,5,6,7,11,12,13,14",32,32,,24-MB04
3,Crown Summit Backpack,"&lt;p&gt;The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Top handle.&lt;/li&gt; &lt;li&gt;Grommet holes.&lt;/li&gt; &lt;li&gt;Two-way zippers.&lt;/li&gt; &lt;li&gt;H 20&quot; x W 14&quot; x D 12&quot;.&lt;/li&gt; &lt;li&gt;Weight: 2 lbs, 8 oz. Volume: 29 L.&lt;/li&gt; &lt;ul&gt;","4,5,6,7,13,14",38,38,,24-MB03
4,Wayfarer Messenger Bag,"&lt;p&gt;Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Multiple internal zip pockets.&lt;/li&gt; &lt;li&gt;Made of durable nylon.&lt;/li&gt; &lt;/ul&gt;","6,7",45,45,,24-MB05
5,Rival Field Messenger,"&lt;p&gt;The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Leather construction.&lt;/li&gt; &lt;li&gt;Adjustable fabric carry strap.&lt;/li&gt; &lt;li&gt;Dimensions: 18&quot; x 10&quot; x 4&quot;.&lt;/li&gt; &lt;/ul&gt;","6,7",45,45,,24-MB06
6,Fusion Backpack,"&lt;p&gt;With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Durable nylon construction.&lt;/li&gt; &lt;li&gt;2 main zippered compartments.&lt;/li&gt; &lt;li&gt;1 exterior zippered pocket.&lt;/li&gt; &lt;li&gt;Mesh side pouches.&lt;/li&gt; &lt;li&gt;Padded, adjustable straps.&lt;/li&gt; &lt;li&gt;Top carry handle.&lt;/li&gt; &lt;li&gt;Dimensions: 18&quot; x 10&quot; x 6&quot;.&lt;/li&gt; &lt;/ul&gt;",7,59,59,,24-MB02
7,Impulse Duffle,"&lt;p&gt;Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Wheeled.&lt;/li&gt; &lt;li&gt;Dual carry handles.&lt;/li&gt; &lt;li&gt;Retractable top handle.&lt;/li&gt; &lt;li&gt;W 14&quot; x H 26&quot; x D 11&quot;.&lt;/li&gt; &lt;/ul&gt;",,74,50,,24-UB02
8,Voyage Yoga Bag,"&lt;p&gt;Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Slip pocket on front.&lt;/li&gt; &lt;li&gt;Contrast piping.&lt;/li&gt; &lt;li&gt;Durable nylon construction.&lt;/li&gt; &lt;/ul&gt;","1,3,4,5,6,7,11,12,13,14",32,32,,24-WB01
9,Compete Track Tote,"&lt;p&gt;The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.&lt;p&gt; &lt;ul&gt; &lt;li&gt;Two-way zippers.&lt;/li&gt; &lt;li&gt;Contrast detailing.&lt;/li&gt; &lt;li&gt;W 22.0&quot; x H 17&quot; x D 10&quot;.&lt;/li&gt; &lt;/ul&gt;","1,3,4,5,6,7,11,12,13,14",32,32,,24-WB02
10,Savvy Shoulder Tote,"&lt;p&gt;Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Water-resistant shell.&lt;/li&gt; &lt;li&gt;Water bottle pocket.&lt;/li&gt; &lt;li&gt;Padded, articulating shoulder strap.&lt;/li&gt; &lt;li&gt;Dimensions: W 21&quot; x H 15&quot; x D 10&quot;.&lt;/li&gt; &lt;/ul&gt;","1,3,4,5,6,7,11,12,13,14",32,32,,24-WB05
11,Endeavor Daytrip Backpack,"&lt;p&gt;With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day's worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Foam-padded adjustable shoulder straps.&lt;/li&gt; &lt;li&gt;900D polyester.&lt;/li&gt; &lt;li&gt;Oversized zippers.&lt;/li&gt; &lt;li&gt;Locker loop.&lt;/li&gt; &lt;/ul&gt;","1,3,4,5,6,7,12,13,14",33,33,,24-WB06
12,Driven Backpack,"&lt;p&gt;School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it's outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Large main and small zip compartments.&lt;/li&gt; &lt;li&gt;Adjustable, padded straps.&lt;/li&gt; &lt;li&gt;Interior foam pockets.&lt;/li&gt; &lt;li&gt;Exterior zip compartment.&lt;/li&gt; &lt;li&gt;Left sport bottle pocket.&lt;/li&gt; &lt;li&gt;Survival gear sold separately.&lt;/li&gt; &lt;/ul&gt;","3,4,5,6,7,13,14",36,36,,24-WB03
13,Overnight Duffle,"&lt;p&gt;For long weekends away, camping outings and business trips, the Overnight Duffle can't be beat. The dual handles make it a cinch to carry, while the durable waterproof exterior helps you worry less about the weather. With multiple organizational pockets inside and out, it's the perfect travel companion.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Dual top handles.&lt;/li&gt; &lt;li&gt;W 15&quot; x H 15&quot; x D 9&quot;.&lt;/li&gt; &lt;/ul&gt;","6,7",45,45,,24-WB07
14,Push It Messenger Bag,"&lt;p&gt;The name says so, but the Push It Messenger Bag is much more than a busy commuter's tote. It's a closet away from home when you're pedaling from class or work to gym and back or home again. It's the perfect size and shape for laptop, folded clothes, even extra shoes.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Adjustable crossbody strap.&lt;/li&gt; &lt;li&gt;Top handle.&lt;/li&gt; &lt;li&gt;Zippered interior pocket.&lt;/li&gt; &lt;li&gt;Secure clip closures.&lt;/li&gt; &lt;li&gt;Durable fabric construction.&lt;/li&gt; &lt;/ul&gt;","6,7",45,45,,24-WB04
15,Affirm Water Bottle,"&lt;p&gt;You'll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you're drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Made of plastic.&lt;/li&gt; &lt;li&gt;Grooved sides for an easy grip.&lt;/li&gt; &lt;/ul&gt;",,7,7,,24-UG06
16,Dual Handle Cardio Ball,"&lt;p&gt;Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Durable plastic shell with sand fill. &lt;li&gt;Two handles. &lt;li&gt;15 lbs. &lt;/ul&gt;",,12,12,,24-UG07
17,Zing Jump Rope,"&lt;p&gt;One of the world's simplest and most portable exercise devices, a jump rope enables endless variations and fitness output. The Zing Jump Rope goes anywhere and can be used any time. It is adjustable in length and has contoured foam handles for a great grip.&lt;/p&gt; &lt;ul&gt; &lt;li&gt; Contoured foam handles. &lt;li&gt; Adjustable length. &lt;/ul&gt;",,12,12,,24-UG04
18,Pursuit Lumaflex&amp;trade; Tone Band,"&lt;p&gt;Save your knees and joints while strengthening arms, legs and core with the Pursuit Lumaflex&amp;trade; Tone Band. This ultra-durable training tool lets you complete a full-body workout free of bulky machines or free weights.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Home and/or gym use.&lt;/li&gt; &lt;li&gt;Ergonomic handles.&lt;/li&gt; &lt;/ul&gt;",,16,16,,24-UG02
19,Go-Get'r Pushup Grips,"&lt;p&gt;The Go-Get'r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Durable foam grips.&lt;/li&gt; &lt;li&gt;Supportive base.&lt;/li&gt; &lt;/ul&gt;",,19,19,,24-UG05
20,Quest Lumaflex&amp;trade; Band,"&lt;p&gt;From leg extensions and standing squats to a full range of floor routines, the Quest Strength Band brings your own personal gym with you everywhere you go. Designed to add extra resistance to any training session, this strength band helps you tone and define your muscles. You'll love the extra comfort of its grippy handles and adjustable design.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Adjusts from 30&quot; to 55&quot;. &lt;li&gt;Grippy comfort handles. &lt;li&gt;Stretchy rubber construction. &lt;/ul&gt;",,19,19,,24-UG01
21,Sprite Foam Yoga Brick,"&lt;p&gt;Our top-selling yoga prop, the 4-inch, high-quality Sprite Foam Yoga Brick is popular among yoga novices and studio professionals alike. An essential yoga accessory, the yoga brick is a critical tool for finding balance and alignment in many common yoga poses. Choose from 5 color options.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Standard Large Size: 4&quot; x 6&quot; x 9&quot;. &lt;li&gt;Beveled edges for ideal contour grip. &lt;li&gt;Durable and soft, scratch-proof foam. &lt;li&gt;Individually wrapped. &lt;li&gt;Ten color choices. &lt;/ul&gt;",,5,5,,24-WG084
22,Sprite Foam Roller,"&lt;p&gt;It hurts so good to use the Sprite Foam Roller on achy, tired muscles for myofascial massage therapy. Or you can add this fundamental piece to your Pilates and yoga accouterment, or apply towards core stability, strengthening and balance exercise. &lt;/p&gt; &lt;ul&gt; &lt;li&gt;6'' wide by 12'' long.&lt;/li&gt; &lt;li&gt;Safe for myofascial release.&lt;/li&gt; &lt;li&gt;EPP or PE foam options.&lt;/li&gt; &lt;li&gt;Solid, dense, closed-cell foam.&lt;/li&gt; &lt;/ul&gt;",,19,19,,24-WG088
23,Harmony Lumaflex&amp;trade; Strength Band Kit,"&lt;p&gt;Forget fancy machines and costly memberships - the Harmony Lumaflex&amp;trade; Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Three flex bands.&lt;/li&gt; &lt;li&gt;Textured, ergonomic grips.&lt;/li&gt; &lt;li&gt;Adjustable lengths.&lt;/li&gt; &lt;li&gt;Mesh carry bag included.&lt;/li&gt; &lt;/ul&gt;",,22,22,,24-UG03
